CAN_ID_HEX	CAN_ID_NAME	CAN_ID_NAME (Translated)	DIAG_ID_HEX	SG_NAME
0x2FA	Sitzbelegung Gurtkontakte (14)	Seat belt contact (14)	0x1	ACSM
0x2FC	ZV und Klappenzustand [11]	ZV and folding condition [11]	0x40	CAS
0x304	Status Gang [13]	Status Status [13]	0x18	SMG_M/SMG/EGS_MECH+NAVI/EGS_MECH/DKG
0x306	Fahrzeugneigung [2]	Towing	0x70	LM
0x308	Status MSA [2]	Status MSA [2]	0x12	DME1/DDE1
0x310	Außentemperatur/Relativzeit [10]	External temperature / relative time [10]	0x60	Kombi
0x311	Nachtankmenge [3]	Nightfall [3]	0x60	Kombi
0x312	Service Call Teleservice [2]	Service Call Teleservice [2]	0x60	Kombi
0x313	Status Service Call Teleservice [3]	Status Service Call Teleservice [3]	0x36	TEL_BPI
0x313	Status Service Call Teleservice [3]	Status Service Call Teleservice [3]	0x62	M_ASK/CCC_GW
0x314	Status Fahrlicht [9]	Status of driving light [9]	0x45	RLS
0x314	Status Fahrlicht [9]	Status of driving light [9]	0x70	LM
0x315	Fahrzeugmodus [7]	Vehicle mode [7]	0x65	SZM_MIT_KBUS/SZM
0x317	Bedienung Taster PDC [1]	Operation button PDC [1]	0x65	SZM_MIT_KBUS/SZM
0x318	Status Antennen Passive Access [7]	Status Antennas Passive Access [7]	0x27	PGS
0x319	Bedienung Taster RDC [4]	Operation button RDC [4]	0x65	SZM
0x31C	Status Reifendruck [6]	Status of tire pressure [6]	0x20	RDC
0x31D	Status Reifenpannenanzeige [6]	Status of tire tension indicator [6]	0x29	DXC_RB/DSC_RB/DSC_CT
0x322	Dämpferstrom [2]	Damp current [2]	0x39	EDCK_Modul
0x326	Status Dämpferprogramm [9]	Status damper program [9]	0x39	EDCK_Modul
0x328	Relativzeit [9]	Relative time [9]	0x60	Kombi
0x32A	Steuerung ALC [2]	Control system ALC [2]	0x70	LM
0x32D	Anzeige HDC [3]	Display HDC [3]	0x29	DXC_RB
0x32E	Status Klima Interne Regelinfo [6]	Status Climate Internal Ruleinfo [6]	0x78	IHKA
0x330	Kilometerstand/Reichweite [5]	Mileage / range [5]	0x60	Kombi
0x331	Programmierung Stufentempomat [2]	Programming step stepping [2]	0x62	M_ASK/CCC_GW
0x332	Fahreranzeige Drehzahlbereich [4]	Driver display Speed ​​range [4]	0x12	DME1/DDE1
0x335	Status Elektrische Kraftstoffpumpe [3]	Status Electric Fuel Pump [3]	0x17	EKP
0x336	Anzeige Checkcontrol-Meldung (Rolle) [3]	Display of checkcontrol message (role) [3]	0x60	Kombi
0x337	Status Kraftstoffregelung DME [1]	Status Fuel Control DME [1]	0x12	DME1
0x338	Steuerung Anzeige Checkcontrol-Meldung [7]	Control display Checkcontrol message [7]	0x60	Kombi
0x339	Status Anzeige Funktionen Extern [1]	Status Display Functions External [1]	0x62	M_ASK/CCC_GW
0x33A	Status Monitor Front [3]	Status Monitor Front [3]	0x73	CID_C_H/CID_C
0x348	Übereinstimmung Navigationsgraph [4]	Conformity navigation graph [4]	0x62	CCC_GW
0x34A	Navigation GPS 1 [5]	Navigation GPS 1 [5]	0x62	CCC_GW
0x34B	Status Sitzlehnenverriegelung FA (3)	Status Seat back rest FA (3)	0x65	SZM_MIT_KBUS
0x34B	Status Sitzlehnenverriegelung FA (3)	Status Seat back rest FA (3)	0x6D	SM_FA
0x34C	Navigation GPS 2 [5]	Navigation GPS 2 [5]	0x62	CCC_GW
0x34D	Status Sitzlehnenverriegelung BF [2]	Status Seat backrest BF [2]	0x65	SZM_MIT_KBUS
0x34D	Status Sitzlehnenverriegelung BF [2]	Status Seat backrest BF [2]	0x6E	SM_BF
0x34E	Navigation System Information [6]	Navigation system information [6]	0x62	CCC_GW
0x35A	Termin Condition Based Service [2]	Appointment Condition Based Service [2]	0x62	M_ASK/CCC_GW
0x35C	Status Bordcomputer [5]	Status of board computer [5]	0x60	Kombi
0x35E	Daten Bordcomputer (Reisedaten) [5]	Data on board computer (rice data) [5]	0x60	Kombi
0x360	Daten Bordcomputer (Fahrtbeginn) [2]	Data board computer (start of journey) [2]	0x60	Kombi
0x362	Daten Bordcomputer (Durchschnittswerte) [4]	Data on board computer (average values) [4]	0x60	Kombi
0x364	Daten Bordcomputer (Ankunft) [2]	Data board computer (arrival) [2]	0x60	Kombi
0x366	Anzeige Kombi/Externe Anzeige [3]	Display Combi / External Display [3]	0x60	Kombi
0x367	Steuerung Anzeige Bedarfsorientierter Service [6]	Control Display Demand-oriented Service [6]	0x60	Kombi
0x374	Radtoleranzabgleich [7]	Wheel tolerance adjustment [7]	0x29	DXC_RB/DSC_RB/DSC_CT
0x376	Status Verschleiß Lamelle [3]	Status wear lamella [3]	0x19	VGSG
0x380	Fahrgestellnummer [5]	Chassis number [5]	0x40	CAS
0x381	Elektronischer Motorölmessstab [10]	Electronic engine oil dipstick [10]	0x12	DME1/DDE1
0x382	Elektronischer Motorölmessstab M [1]	Electronic engine oil dipstick M [1]	0x12	DME1/DDE1
0x388	Fahrzeugtyp [13]	Vehicle type [13]	0x40	CAS
0x38E	Startdrehzahl [1]	Starting speed [1]	0x12	DME1/DDE1
0x394	RDA Anfrage/Datenablage [5]	RDA Request / Data Storage [5]	0x60	Kombi
0x395	Codierung Powermanagement [2]	Coding Powermanagement [2]	0x40	CAS
0x398	Bedienung Fahrwerk [14]	Operation Chassis [14]	0x62	M_ASK/CCC_GW
0x399	Status M-Drive [2]	Status M-Drive [2]	0x12	DME1
0x39C	EBA Datenanforderung [5]	EBA data request [5]	0xFF	unbekannt
0x39E	Bedienung Uhrzeit/Datum [1]	Operation Time / Date [1]	0x62	M_ASK/CCC_GW
0x3A0	Fahrzeugzustand [4]	Vehicle condition [4]	0x0	KGM
0x3A3	Anforderung Remote Services [2]	Request Remote Services [2]	0x62	M_ASK/CCC_GW
0x3AC	Nachlaufzeit Klemme 30 fehlergesteuert [2]	Follow-up time Terminal 30 error-controlled [2]	0x0	KGM
0x3B0	Status Gang Rückwärts [2]	Status Reverse [2]	0x70	LM
0x3B1	Getriebedaten 3 [2]	Transmission data 3 [2]	0x18	EGS_MECH/DKG
0x3B3	Powermanagement Verbrauchersteuerung [8]	Powermanagement Consumer Control [8]	0x12	DME1/DDE1
0x3B4	Powermanagement Batteriespannung [11]	Powermanagement Battery voltage [11]	0x12	DME1/DDE1
0x3B5	Status Wasserventil [6]	Status Water valve [6]	0x78	IHKA
0x3B6	Position Fensterheber FAT [6]	Position window lifter FAT [6]	0x0	KGM
0x3B7	Position Fensterheber FATH [5]	Position window lifters FATH [5]	0x72	KBM
0x3B8	Position Fensterheber BFT [6]	Position window lifter BFT [6]	0x0	KGM
0x3B9	Position Fensterheber BFTH [5]	Position Window lifters BFTH [5]	0x72	KBM
0x3BA	Position SHD [10]	Position SHD [10]	0x44	SHD/MDS
0x3BD	Status Verbraucherabschaltung [2]	Status of consumer disconnection [2]	0x72	KBM
0x3BE	Nachlaufzeit Stromversorgung [5]	Run-on time Power supply [5]	0x40	CAS
0x3BF	Position Fensterheber Heckscheibe [1]	Position Window Regulator Rear Window [1]	0x24	CVM_V
0x3C0	Konfiguration FAS [3]	Configuration FAS [3]	0x6D	SM_FA
0x3C1	Konfiguration BFS [3]	Configuration FSO [3]	0x6E	SM_BF
0x3CA	Konfiguration M-Drive [2]	Configuration M-Drive [2]	0x62	M_ASK/CCC_GW
0x3D3	Status Solarsensor [1]	Status Solar sensor [1]	0x70	LM
0x3D4	Konfiguration Zentralverriegelung CKM [3]	Configuration Central locking CKM [3]	0x62	M_ASK/CCC_GW
0x3D5	Status Zentralverriegelung CKM [4]	Status Central locking CKM [4]	0x40	CAS
0x3D6	Konfiguration DWA CKM [1]	Configuration DWA CKM [1]	0x62	M_ASK/CCC_GW
0x3D7	Status DWA CKM [2]	Status DWA CKM [2]	0x41	DWA
0x3D8	Konfiguration RLS CKM [3]	Configuration RLS CKM [3]	0x62	M_ASK/CCC_GW
0x3D9	Status RLS CKM [4]	Status RLS CKM [4]	0x45	RLS
0x3D9	Status RLS CKM [4]	Status RLS CKM [4]	0x70	LM
0x3DA	Konfiguration Memorypositionen CKM [1]	Configuration Memory positions CKM [1]	0x62	M_ASK/CCC_GW
0x3DB	Status Memorypositionen CKM [3]	Status Memory positions CKM [3]	0x65	SZM_MIT_KBUS
0x3DB	Status Memorypositionen CKM [3]	Status Memory positions CKM [3]	0x6D	SM_FA
0x3DC	Konfiguration Licht CKM [3]	Configuration light CKM [3]	0x62	M_ASK/CCC_GW
0x3DD	Status Licht CKM [4]	Status light CKM [4]	0x70	LM
0x3DE	Konfiguration Klima CKM [5]	Configuration Climate CKM [5]	0x62	M_ASK/CCC_GW
0x3DF	Status Klima CKM [6]	Status Climate CKM [6]	0x78	IHKA
0x3E0	Konfiguration ALC CKM [1]	Configuration ALC CKM [1]	0x62	M_ASK/CCC_GW
0x3E1	Status ALC CKM [1]	Status ALC CKM [1]	0x70	LM
0x3E2	Konfiguration Heckklappe CKM [1]	Configuration tailgate CKM [1]	0x62	M_ASK/CCC_GW
0x3E3	Status Heckklappe CKM [1]	Status tailgate CKM [1]	0x6B	HKL
0x3E9	Marker 1 [1]	Marker 1 [1]	0xFF	unbekannt
0x3EA	Marker 2 [3]	Marker 2 [3]	0x7E	Diagnosetool_K_CAN_System
0x3EB	Marker 3 [1]	Marker 3 [1]	0x7D	Diagnosetool_PT_CAN
0x3EE	Anforderung Fehlermeldung [1]	Request error message [1]	0xFF	unbekannt
0x3EF	OBD Daten Motor (3)	OBD data engine (3)	0x12	DME1/DDE1
0x3F0	Konfiguration Licht Erweitert CKM [1]	Configuration Light Advanced CKM [1]	0x62	M_ASK/CCC_GW
0x3F1	Status Licht Erweitert CKM [1]	Status Light Advanced CKM [1]	0x70	LM
0x3F4	Konfiguration Laderaumabdeckung CKM [1]	Configuration of charger cover CKM [1]	0x62	M_ASK/CCC_GW
0x3F5	Status Laderaumabdeckung CKM [1]	Status Charging compartment cover CKM [1]	0x72	KBM
0x3FE	Anforderung CAN_Testtool SI-Bus [5]	Requirement CAN_Testtool SI-Bus [5]	0x7E	Diagnosetool_K_CAN_System
0x480	Netzwerkmanagement	Network management	0x0	KGM
0x481	Netzwerkmanagement	Network management	0x1	ACSM
0x482	Netzwerkmanagement	Network management	0x2	SZL_LWS
0x492	Netzwerkmanagement	Network management	0x12	DDE1/DME1
0x496	Netzwerkmanagement	Network management	0x16	AFS
0x497	Netzwerkmanagement	Network management	0x17	EKP
0x498	Netzwerkmanagement	Network management	0x18	DKG/EGS_MECH/EGS_MECH+NAVI/SMG/SMG_M
0x499	Netzwerkmanagement	Network management	0x19	VGSG
0x49B	Netzwerkmanagement	Network management	0x1B	VVT1
0x49C	Netzwerkmanagement	Network management	0x1C	LDM
0x49E	Netzwerkmanagement	Network management	0x1E	VVT2
0x4A0	Netzwerkmanagement	Network management	0x20	RDC
0x4A1	Netzwerkmanagement	Network management	0x21	ACC+NAVI/ACC_Modul
0x4A3	Netzwerkmanagement	Network management	0x23	ARS_Modul
0x4A4	Netzwerkmanagement	Network management	0x24	CVM_V
0x4A5	Netzwerkmanagement	Network management	0x25	RSC_VDA/SC_CT/SC_VDA
0x4A7	Netzwerkmanagement	Network management	0x27	PGS
0x4A9	Netzwerkmanagement	Network management	0x29	DSC_CT/DSC_RB/DXC_RB
0x4B6	Netzwerkmanagement	Network management	0x36	TEL_BPI/TEL_JAP/TEL_MULF
0x4B7	Netzwerkmanagement	Network management	0x37	AMP_TOP
0x4B8	Netzwerkmanagement	Network management	0x38	EHC
0x4B9	Netzwerkmanagement	Network management	0x39	EDCK_Modul
0x4BA	Netzwerkmanagement	Network management	0x3A	KHM
0x4BB	Netzwerkmanagement	Network management	0x3B	JNAV
0x4BC	Netzwerkmanagement	Network management	0x3C	CDC
0x4BD	Netzwerkmanagement	Network management	0x3D	HUD
0x4C0	Netzwerkmanagement	Network management	0x40	CAS
0x4C1	Netzwerkmanagement	Network management	0x41	DWA
0x4C4	Netzwerkmanagement	Network management	0x44	MDS/SHD
0x4C5	Netzwerkmanagement	Network management	0x45	RLS/RLS
0x4CB	Netzwerkmanagement	Network management	0x4B	VM
